hp_id,symbol,security_id,fill_date,fill_close,prev_date,prev_close,prev_source,next_date,next_close,next_source,vs_ref_pct,neighbors_consistent,ca_adj_confirmed,ca_note,post_fill_cas
462170,IPCALAB,893,2020-02-06,620.23,,,,2025-10-28,1291.0,cron,-51.96,True,True,CONFIRMED adjusted: fill≈ref×0.5 from SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462171,IPCALAB,893,2020-02-24,732.8,,,,2025-10-28,1291.0,cron,-43.24,True,True,LIKELY adjusted (ratio≈1.76); post-fill CA factor=0.5 expected≈645.50; fill=732.80; implied_ref/fill=1.76; CAs: SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462172,IPCALAB,893,2020-03-02,717.08,,,,2025-10-28,1291.0,cron,-44.46,True,True,CONFIRMED adjusted: fill≈ref×0.5 from SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462173,IPCALAB,893,2020-03-03,753.05,,,,2025-10-28,1291.0,cron,-41.67,True,False,post-fill CA factor=0.5 expected≈645.50; fill=753.05; implied_ref/fill=1.71; CAs: SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462174,IPCALAB,893,2020-04-01,698.88,,,,2025-10-28,1291.0,cron,-45.87,True,True,CONFIRMED adjusted: fill≈ref×0.5 from SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462175,IPCALAB,893,2020-06-02,777.85,,,,2025-10-28,1291.0,cron,-39.75,True,True,LIKELY adjusted (ratio≈1.66); post-fill CA factor=0.5 expected≈645.50; fill=777.85; implied_ref/fill=1.66; CAs: SPLIT 2:1@2022-01-10,SPLIT 2:1@2022-01-10
462185,IPCALAB,893,2023-01-02,836.7,,,,2025-10-28,1291.0,cron,-35.19,True,True,LIKELY adjusted (implied factor≈1.54) but no matching SPLIT/BONUS in corporate_actions,
462186,IPCALAB,893,2023-01-04,855.75,,,,2025-10-28,1291.0,cron,-33.71,True,True,LIKELY adjusted (implied factor≈1.51) but no matching SPLIT/BONUS in corporate_actions,
462187,IPCALAB,893,2023-03-01,807.7,,,,2025-10-28,1291.0,cron,-37.44,True,True,LIKELY adjusted (implied factor≈1.6) but no matching SPLIT/BONUS in corporate_actions,
462188,IRB,895,2025-09-18,22.05,,,,2025-10-28,44.67,cron,-50.64,True,True,CONFIRMED adjusted: fill≈ref×0.5 from BONUS 1@2026-03-30,BONUS 1@2026-03-30
462195,KAJARIACER,976,2016-02-09,467.15,,,,2025-01-15,1046.15,upload,-55.35,True,True,LIKELY adjusted (implied factor≈2.24) but no matching SPLIT/BONUS in corporate_actions,
462196,KAJARIACER,976,2016-09-27,673.8,,,,2025-01-15,1046.15,upload,-35.59,True,True,LIKELY adjusted (implied factor≈1.55) but no matching SPLIT/BONUS in corporate_actions,
