SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
BEML,BEML Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,5,03-Nov-2025,03-Nov-2025,-,-
HINDUNILVR,Hindustan Unilever Limited,EQ,Interim Dividend - Rs 19 Per Share,1,07-Nov-2025,07-Nov-2025,-,-
BEPL,Bhansali Engineering Polymers Limited,EQ,Interim Dividend - Re 1 Per Share,1,04-Nov-2025,05-Nov-2025,-,-
INFY,Infosys Limited,EQ,Bonus 1:2,5,10-May-2024,10-May-2024,-,-
